product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
ARBA6E002BK,젠더리스《Alle Hobo square》프리미엄 램스킨 블랙 호보 숄더백,알레그리,A001,1897,1,[26SS],하반기,0,0,0,0,0,490000,396900,19,0,0,34,4.8,238,18,531,7,XXX:7,7,블랙:7,가방,남녀캐주얼가방,숄더백
ARJU6A209BK,블랙《Velour Denim》헤링턴 트러커 점퍼,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,890000,801000,10,0,0,6,5.0,146,34,135,11,"48 (95):1, 50 (100):7, 52 (105):3, 54 (110):0",11,블랙:11,남성의류,점퍼,캐쥬얼점퍼
ARTS6A102BK,블랙《Soft Texture》셔츠 카라 맨투맨,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,320000,259200,19,0,0,6,4.8,83,32,20,18,"95:2, 100:11, 105:5, 110:0",32,"블랙:18, 밝은 그레이:1, 밝은 베이지:13",남성의류,티셔츠,긴팔티셔츠
ARJU6A211CG,차콜그레이《Shadowvel》트러커 점퍼,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,890000,801000,10,0,0,2,5.0,225,14,58,7,"48 (95):2, 50 (100):4, 52 (105):1, 54 (110):0",9,"차콜 그레이:7, 진한 베이지:2",남성의류,점퍼,캐쥬얼점퍼
ARJU6A304I3,베이지《Cotton Linen》트러커 점퍼,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,690000,621000,10,0,0,0,0.0,70,25,20,3,"48 (95):0, 50 (100):0, 52 (105):3, 54 (110):0",11,"진한 베이지:3, 진한 청록:8",남성의류,점퍼,캐쥬얼점퍼
ARPA6A811B2,미드 블루《Berto》스탠다드 핏 데님,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,440000,396000,10,0,0,3,5.0,81,0,23,1,"78 (30):0, 82 (32):1, 86 (34):0, 90 (36):0, 94 (38):0",3,"블루:1, 그레이:2",남성의류,데님팬츠,롱
ARJU6A208I2,베이지《RayCot》 Trench Blouson 점퍼,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,890000,720900,19,0,0,1,5.0,42,30,60,14,"48 (95):1, 50 (100):4, 52 (105):7, 54 (110):2",14,베이지:14,남성의류,점퍼,캐쥬얼점퍼
ARBA6E102BK,젠더리스《Alle Messenger》최고급 토고 가죽 백,알레그리,A001,1897,1,[26SS],상반기,0,0,0,0,0,390000,315900,19,0,0,0,0.0,0,17,24,68,XXX:68,68,블랙:68,가방,남녀캐주얼가방,숄더백
ARTS6A102G1,라이트그레이《Soft Texture》셔츠 카라 맨투맨,알레그리,A001,1897,1,[26SS],봄,1,0,0,0,0,320000,259200,19,0,0,6,4.8,83,32,37,1,"95:0, 100:0, 105:1, 110:0",32,"블랙:18, 밝은 그레이:1, 밝은 베이지:13",남성의류,티셔츠,긴팔티셔츠
ARSW5B306E3,다크 그린《Mild Rayon》카라넥 니트,알레그리,A001,1897,2,[25SS],여름,0,1,0,0,0,320000,187490,41,0,0,25,4.8,988,54,41,25,"S (95):12, M (100):8, L (105):0, XL (110):5",67,"블랙:8, 크림:10, 진한 초록:25, 밝은 그레이:5, 연핑크:5, 진한 청록:14",남성의류,니트/스웨터,
ARTS5B308I1,라이트 베이지《Soft Twill》세미오버 카라 티셔츠,알레그리,A001,1897,2,[25SS],여름,0,1,0,0,0,210000,123040,41,0,0,20,4.8,386,0,31,1,"90:0, 95:0, 100:0, 105:0, 110:1",2,"탁한 블루:1, 블랙:0, 밝은 베이지:1, 진한 청록:0",남성의류,티셔츠,반팔티셔츠
