rank,set_type,anchor_product_code,anchor_product_name,anchor_role,bottom_product_code,bottom_product_name,top_product_code,top_product_name,outer_product_code,outer_product_name,bottom_top_score,bottom_outer_score,top_outer_base_score,top_outer_season_score,top_outer_score,top_outer_season_distance,top_outer_season_reason,triplet_season_penalty,set_score,top_reason_text,outer_reason_text,set_reason
1,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E411WT,SLOW LIFE 반팔 티셔츠 화이트,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),88.9458,86.7505,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,70.6188,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",SLOW LIFE 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Black) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
2,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E703WT,[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),88.7789,86.7505,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,70.5631,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Black) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
3,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,TNTS5E206WT,Essential Round Neck T-Shirt (White),TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),88.3235,86.7505,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,70.4113,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",Essential Round Neck T-Shirt (White) + Yoyogi Pleats Hooded Zip-Up (Black) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
4,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E411WT,SLOW LIFE 반팔 티셔츠 화이트,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),88.9458,84.2869,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.7976,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",SLOW LIFE 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
5,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E411WT,SLOW LIFE 반팔 티셔츠 화이트,TNJU6E107W2,Yoyogi Pleats Hooded Zip-Up (Brown),88.9458,84.1302,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.7453,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",SLOW LIFE 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Brown) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
6,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E703WT,[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),88.7789,84.2869,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.7419,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
7,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,IETS5E703WT,[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트,TNJU6E107W2,Yoyogi Pleats Hooded Zip-Up (Brown),88.7789,84.1302,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.6897,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 동일 브랜드 조합으로 통일감이 있음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",[일꼬르소X미즈노] 헤리티지 썸머 반팔 티셔츠 화이트 + Yoyogi Pleats Hooded Zip-Up (Brown) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
8,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,TNTS5E206WT,Essential Round Neck T-Shirt (White),TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),88.3235,84.2869,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.5901,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",Essential Round Neck T-Shirt (White) + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
9,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,TNTS5E206WT,Essential Round Neck T-Shirt (White),TNJU6E107W2,Yoyogi Pleats Hooded Zip-Up (Brown),88.3235,84.1302,61.45,55.0,60.16,0.375,top-outer 시즌감 차이가 약간 있음,8.0,69.5379,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",Essential Round Neck T-Shirt (White) + Yoyogi Pleats Hooded Zip-Up (Brown) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
10,3piece,IEPA5E408BK,나일론 카고 반바지 블랙,bottom,IEPA5E408BK,나일론 카고 반바지 블랙,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),87.4918,86.7505,61.45,55.0,60.16,0.5,top-outer 시즌감 차이가 약간 있음,15.0,63.1341,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편","무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 아이템 성격상 궁합이 좋음, 기존 추천 점수도 높은 편",[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠 + Yoyogi Pleats Hooded Zip-Up (Black) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
